75,122
85,96
78,104
84,92
88,87
96,93
71,103
83,91
82,87
84,89
76,79
105,75
77,83
81,77
83,75
84,82
87,116
80,78
84,74
85,82
118,93
78,82
80,84
72,81
76,75
85,82
85,107
80,83
89,82
79,79
101,102
83,74
78,120
70,92
80,73
82,81
84,75
84,75
83,87
83,87
83,86
75,82
88,75
82,87
116,93
95,85
71,86
78,74
82,84
81,88
84,89
85,88
86,86
76,130
83,111
82,71
85,85
83,78
82,86
111,82
105,90
80,85
84,73
82,74
84,85
82,139
84,73
83,71
82,73
83,82
85,77
76,85
84,91
85,103
121,83
90,72
84,88
72,72
78,84
81,78
81,96
84,92
102,71
102,75
80,80
90,80
91,84
86,87
85,73
81,92
82,96
85,86
82,73
85,75
78,82
81,74
87,87
78,73
96,83
85,73
82,99
86,114
84,84
86,85
76,75
81,82
87,87
95,79
83,95
85,75
80,86
82,84
81,123
84,94
87,81
79,72
83,76
96,79
84,77
85,90
76,84
73,74
109,84
72,85
79,117
81,109
89,100
76,73
88,85
78,74
87,84
77,73
87,88
78,98
89,74
78,83
82,75
99,84
80,95
81,82
83,76
86,81
78,74
83,76
87,96
78,97
89,83
74,81
89,87
94,77
87,83
77,78
86,93
84,116
80,76
80,91
87,86
79,74
80,86
81,83
85,74
80,107
88,86
81,84
85,84
76,73
85,86
86,97
95,90
86,73
89,74
84,87
86,85
87,88
93,100
83,90
83,72
86,84
80,76
79,83
83,77
80,89
99,95
84,91
89,72
79,83
81,75
77,86
84,88
84,81
84,122
84,80
79,85
98,102
85,85
79,79
89,83
76,89
87,100
79,87
80,89
80,93
84,97
83,90
84,93
100,95
87,76
78,83
81,89
94,88
89,87
76,113
91,91
78,77
88,82
75,76
90,86
77,86
97,87
82,108
86,92
83,91
77,89
85,83
79,82
72,92
78,74
83,83
82,75
87,86
79,95
83,83
84,85
82,74
96,84
79,76
104,95
96,95
87,87
95,82
97,73
82,86
83,86
83,97
86,113
81,72
87,99
78,72
88,77
74,81
85,76
80,86
87,98
82,93
102,82
79,78
87,84
76,82
77,104
83,76
97,84
81,73
89,84
89,88
77,86
79,91
85,99
79,74
90,86
87,86
84,78
82,86
87,89
77,124
85,72
84,90
77,86
82,75
89,83
93,75
82,83
84,93
84,82
78,87
82,85
82,75
86,84
95,89
86,92
77,86
87,83
80,74
86,87
75,90
89,100
93,90
85,86
85,81
79,77
82,82
78,77
85,86
86,110
94,100
85,81
78,83
84,73
86,87
94,100
86,78
80,87
94,87
88,87
81,93
84,97
89,91
85,84
88,84
78,90
86,73
91,89
98,100
88,91
88,91
77,87
82,83
86,85
88,85
85,88
81,97
83,96
85,84
80,76
97,87
90,86
77,86
86,87
75,101
88,87
75,82
87,76
92,81
87,78
87,83
93,89
89,82
84,75
75,83
82,99
105,113
80,72
83,83
97,75
89,88
86,80
88,89
80,85
86,74
91,85
87,105
78,114
91,81
76,84
84,85
80,90
77,84
86,97
84,76
78,85
85,85
80,88
84,98
77,123
83,72
89,74
89,83
90,83
76,78
89,92
81,76
78,89
84,84
82,88
94,120
86,137
78,77
84,84
84,84
88,91
74,98
85,89
92,105
83,95
83,93
84,96
79,82
83,81
83,75
85,90
79,86
83,93
83,92
87,86
94,86
95,87
85,75
79,87
80,88
81,98
86,93
79,83
86,85
77,88
85,83
85,95
75,91
79,111
85,86
88,85
94,81
80,75
84,93
92,84
85,87
84,84
83,82
95,75
77,97
87,91
84,74
85,85
78,86
95,84
86,90
76,100
79,76
84,86
86,74
78,87
87,87
81,89
79,87
80,110
86,73
79,86
81,73
86,84
87,76
85,96
86,111
89,100
80,96
87,75
79,91
83,89
81,81
86,83
74,74
85,83
86,76
76,95
79,108
87,76
80,80
77,75
85,82
80,91
87,90
77,84
88,73
78,82
94,75
87,84
82,100
95,122
86,87
77,75
87,84
93,83
84,78
81,87
91,80
84,88
85,90
76,86
88,93
82,95
76,76
84,82
101,73
91,86
82,101
87,87
81,88
87,74
76,92
88,77
75,87
91,97
85,150
84,84
84,84
78,88
80,88
84,85
82,85
92,97
89,95
82,83
83,74
94,99
85,75
80,89
83,97
90,85
109,76
87,112
77,108
87,73
78,84
81,87
83,108
103,83
72,74
84,86
80,82
83,76
91,97
81,89
86,73
78,88
96,90
80,85
77,99
87,93
77,82
81,76
84,84
80,83
87,85
89,88
84,95
82,86
85,85
79,74
94,87
86,84
77,86
85,100
83,101
94,76
83,88
84,84
79,85
102,85
76,88
89,84
77,75
80,100
85,122
90,86
83,88
86,74
84,84
82,85
79,90
92,84
84,85
82,83
87,95
89,130
88,98
83,87
78,89
79,86
83,89
80,85
85,75
96,92
80,102
85,92
82,74
79,83
80,77
87,88
75,99
84,85
83,75
109,83
84,90
94,85
85,101
84,85
82,77
97,84
80,74
76,84
83,87
88,87
92,120
85,77
82,89
85,86
77,83
84,75
76,83
91,87
81,94
90,82
74,87
96,83
79,85
84,77
85,105
107,84
84,82
83,87
85,72
76,85
89,90
75,102
83,85
86,74
80,82
90,84
84,76
83,89
84,92
80,111
74,104
82,81
101,81
86,73
74,99
88,76
79,82
75,85
81,76
85,87
78,90
86,96
78,74
86,86
78,83
91,74
75,98
76,88
85,73
89,83
91,86
78,85
107,86
121,87
89,96
80,95
80,80
97,75
76,89
88,83
94,86
81,101
79,92
87,82
91,75
83,87
95,83
83,87
80,92
85,78
97,89
77,97
89,111
86,80
84,74
74,84
86,84
82,86
76,86
82,87
84,91
79,89
84,96
95,126
83,120
79,75
87,85
78,85
93,97
81,89
84,75
86,85
92,100
81,81
82,93
80,83
85,85
78,75
78,88
81,86
82,96
108,96
74,82
78,84
85,77
94,85
80,83
89,91
90,104
86,83
77,85
89,91
75,128
89,106
76,174
86,197
75,111
84,102
82,99
80,102
94,87
86,152
76,96
86,84
78,87
88,103
74,113
80,85
81,73
84,85
79,82
89,85
87,103
85,77
89,86
83,83
83,86
81,97
96,118
83,86
92,78
98,86
94,89
81,92
89,91
77,76
87,87
82,84
75,91
85,101
79,122
86,85
79,80
94,85
84,75
78,85
86,86
78,85
83,85
87,87
95,86
79,118
80,126
96,92
88,80
77,84
78,73
83,82
94,74
82,97
85,90
80,83
77,76
86,81
76,75
86,98
89,90
84,82
83,84
85,74
75,82
87,86
93,99
84,94
78,82
81,75
86,83
73,88
86,85
79,88
90,107
85,103
91,87
85,85
76,73
90,104
89,81
81,86
101,73
78,87
82,82
81,94
83,98
81,82
95,93
86,81
77,74
88,94
78,90
92,85
85,74
80,86
77,88
85,86
76,86
83,100
98,87
80,85
83,84
86,76
77,83
98,86
90,94
84,121
80,88
87,82
77,84
93,74
86,97
77,79
85,83
96,104
85,84
80,86
91,94
86,91
81,73
102,85
84,74
87,83
76,90
84,108
77,80
92,87
80,85
